"","fao","nph0","nlagneg","nlagpos","nanti","totn","ptph0","nlagtot","ptphlag","ptphanti","area_short","pe","nsp"
"1","AEC",10,3,3,2,18,55.5555555555556,6,33.3333333333333,11.1111111111111,"AEC",40.96056136,73
"2","ANE",24,14,8,17,63,38.0952380952381,22,34.9206349206349,26.984126984127,"ANE",81.10023019,122
"3","ANW",11,5,6,3,25,44,11,44,12,"ANW",65.57283591,73
"4","ASE",1,0,1,1,3,33.3333333333333,1,33.3333333333333,33.3333333333333,"ASE",63.41631817,46
"5","ASW",7,6,1,1,15,46.6666666666667,7,46.6666666666667,6.66666666666667,"ASW",37.56035235,67
"6","AWC",9,7,4,4,24,37.5,11,45.8333333333333,16.6666666666667,"AWC",67.18650049,89
"7","IOE",43,12,4,6,65,66.1538461538461,16,24.6153846153846,9.23076923076923,"IOE",24.34696307,105
"8","IOW",4,5,1,1,11,36.3636363636364,6,54.5454545454545,9.09090909090909,"IOW",42.96212709,70
"9","MBS",13,4,6,8,31,41.9354838709677,10,32.258064516129,25.8064516129032,"MBS",60.35838093,95
"10","PEC",3,1,0,1,5,60,1,20,20,"PEC",53.48607214,43
"11","PNE",1,0,0,0,1,100,0,0,0,"PNE",57.38274008,27
"12","PNW",18,10,5,9,42,42.8571428571429,15,35.7142857142857,21.4285714285714,"PNW",56.77820214,105
"13","PSE",4,0,0,0,4,100,0,0,0,"PSE",44.70945956,51
"14","PSW",12,1,1,6,20,60,2,10,30,"PSW",62.42006569,39
"15","PWC",22,8,11,13,54,40.7407407407407,19,35.1851851851852,24.0740740740741,"PWC",27.34216632,87
