,,ANW,ANE,AWC,AEC,MBS,ASW,ASE,IOW,IOE,PNW,PNE,PWC,PEC,PSW,PSE,
,,21,27,31,34,37,41,47,51,57,61,67,71,77,81,87,totn
Scombridae,SCOMBRIDAE,7,9,15,11,8,7,9,14,18,9,1,12,7,6,7,140
Carangidae,CARANGIDAE,0,2,8,4,6,1,2,4,10,5,0,9,2,3,1,57
Clupeidae,CLUPEIDAE,4,4,4,5,6,2,3,3,5,6,2,5,2,0,2,53
Sciaenidae,SCIAENIDAE,6,1,8,3,4,6,3,1,2,6,0,1,2,1,2,46
Sparidae,SPARIDAE,1,6,2,6,12,1,4,1,2,2,0,1,0,2,0,40
Istiophoridae,ISTIOPHORIDAE,0,0,3,4,0,3,3,4,4,3,0,4,4,2,3,37
Gadidae,GADIDAE,7,13,0,0,3,1,0,0,0,3,2,0,0,0,0,29
Penaeidae,PENAEIDAE,0,1,4,2,2,2,0,2,4,2,0,4,4,1,1,29
Serranidae,SERRANIDAE,1,1,4,2,2,3,1,2,2,2,0,2,0,0,2,24
Palinuridae,PALINURIDAE,0,1,1,1,2,1,2,4,2,1,0,1,1,1,1,19
Lutjanidae,LUTJANIDAE,0,0,5,1,0,2,0,1,2,1,0,3,1,0,1,17
Mugilidae,MUGILIDAE,1,1,3,1,2,1,1,1,1,1,0,1,1,1,1,17
Ommastrephidae,OMMASTREPHIDAE,2,2,1,1,2,1,1,1,1,2,1,0,1,0,1,17
Pleuronectidae,PLEURONECTIDAE,6,7,0,0,0,0,0,0,0,2,2,0,0,0,0,17
*Elasmobranchii,*Elasmobranchii,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
*Pleuronectiformes,*Pleuronectiformes,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14
Engraulidae,ENGRAULIDAE,0,1,0,1,1,2,1,1,2,2,0,1,1,0,1,14
Salmonidae,SALMONIDAE,1,2,0,0,0,0,0,0,0,5,5,0,1,0,0,14
Scorpaenidae,SCORPAENIDAE,2,4,0,0,1,0,1,0,0,2,2,0,1,0,1,14
Xiphiidae,XIPHIIDAE,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14
Trichiuridae,TRICHIURIDAE,0,1,1,2,0,1,1,1,2,2,0,2,0,0,0,13
*Rajiformes,*Rajiformes,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,12
Mullidae,MULLIDAE,0,1,0,2,3,1,0,2,1,1,0,1,0,0,0,12
Haemulidae,HAEMULIDAE,0,0,1,4,0,1,1,1,1,0,0,1,0,0,1,11
Octopodidae,OCTOPODIDAE,0,1,1,1,2,1,0,1,0,1,1,1,1,0,0,11
*Scombroidei,*Scombroidei,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,10
Ostreidae,OSTREIDAE,1,2,1,0,0,1,0,0,0,1,0,1,1,1,1,10
Pectinidae,PECTINIDAE,2,3,0,0,0,1,0,0,1,1,0,1,0,0,1,10
Sepiidae,SEPIIDAE,0,2,0,2,2,0,0,1,1,1,0,1,0,0,0,10
*Decapoda,*Decapoda,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,9
Sphyraenidae,SPHYRAENIDAE,0,0,1,1,1,1,0,1,2,0,0,1,1,0,0,9
Synodontidae,SYNODONTIDAE,0,0,0,0,1,0,0,2,2,2,0,2,0,0,0,9
