"","ninter","nintra","nfdr21","nfdr27","nfdr31","nfdr34","nfdr37","nfdr41","nfdr47","nfdr51","nfdr57","nfdr61","nfdr67","nfdr71","nfdr77","nfdr81","nfdr87","nfdrothers","meancohfdr21","meancohfdr27","meancohfdr31","meancohfdr34","meancohfdr37","meancohfdr41","meancohfdr47","meancohfdr51","meancohfdr57","meancohfdr61","meancohfdr67","meancohfdr71","meancohfdr77","meancohfdr81","meancohfdr87","meancohfdrothers","ptintra","ptinter","pt21","pt27","pt31","pt34","pt37","pt41","pt47","pt51","pt57","pt61","pt67","pt71","pt77","pt81","pt87","meancohintra"
"1",3148,234,21,38,19,15,21,11,4,15,26,29,0,11,8,6,10,3148,0.672416891142857,0.651120132,0.687382013263158,0.662838287466667,0.674259051571429,0.635348241454545,0.653448132,0.653759063466667,0.635732395115385,0.678493202310345,NA,0.683828095727273,0.626134016875,0.637579068,0.6698247444,0.657931881655972,0.524546065904506,0.571246071322286,0.799086757990868,0.514835388158786,0.485188968335036,0.570776255707762,0.470324748040314,0.497512437810945,0.386473429951691,0.62111801242236,0.476190476190476,0.531135531135531,0,0.294039026998129,0.8859357696567,0.809716599190283,0.784313725490196,0.658725952485237
"2",3141,241,14,38,17,15,32,9,2,12,22,29,2,33,6,2,8,3141,0.6794043175,0.663492544447368,0.674442656941176,0.664500492466667,0.65959766734375,0.669475379111111,0.6936541755,0.67160728625,0.660623708863636,0.663591363655172,0.7162706055,0.662386128151515,0.684824344333333,0.719952913,0.65887420325,0.657510029864693,0.540237614884555,0.569975829105241,0.532724505327245,0.514835388158786,0.4341164453524,0.570776255707762,0.716685330347145,0.407055630936228,0.193236714975845,0.496894409937888,0.402930402930403,0.531135531135531,0.56980056980057,0.882117080994387,0.664451827242525,0.269905533063428,0.627450980392157,0.676179852420915
"3",3143,239,14,28,31,15,19,12,6,14,27,27,0,24,6,6,10,3143,0.640123713,0.668068638142857,0.659611237225807,0.684813991866667,0.636466062578947,0.706191436916667,0.743439774166667,0.660657043714286,0.672974299555556,0.654089778925926,NA,0.651889799083333,0.637140662166667,0.657858501666667,0.6878075759,0.657675932337257,0.535754315175969,0.570338755452968,0.532724505327245,0.379352391274895,0.791624106230848,0.570776255707762,0.425531914893617,0.542740841248304,0.579710144927536,0.579710144927536,0.494505494505494,0.494505494505494,0,0.641539695268645,0.664451827242525,0.809716599190283,0.784313725490196,0.668652322493575
"4",3101,281,8,43,36,15,23,19,7,19,35,35,2,24,3,7,5,3101,0.669739196125,0.654054377069767,0.636627738166667,0.634352190266667,0.657921888434783,0.674941844789474,0.658670269714286,0.663060819526316,0.657370421657143,0.6587859506,0.6595950075,0.658860016916667,0.602069349,0.669664349571429,0.6458114634,0.658453116649468,0.629903609056265,0.562717302150701,0.30441400304414,0.582576886600732,0.919305413687436,0.570776255707762,0.51511758118701,0.859339665309815,0.676328502415459,0.786749482401656,0.641025641025641,0.641025641025641,0.56980056980057,0.641539695268645,0.332225913621262,0.944669365721997,0.392156862745098,0.653434992182546
"5",3120,262,15,47,25,14,26,15,7,11,28,31,2,27,3,4,7,3120,0.613027843533333,0.661326732212766,0.65826570308,0.660556255214286,0.628433014615385,0.680787784,0.628172612142857,0.658855160090909,0.659212723071429,0.652857234,0.6390952285,0.644072331592593,0.634390983,0.68127025125,0.676366599142857,0.658640713040064,0.587312261824703,0.566165102454108,0.570776255707762,0.636770085354288,0.638406537282942,0.532724505327245,0.582306830907055,0.67842605156038,0.676328502415459,0.455486542443064,0.512820512820513,0.567765567765568,0.56980056980057,0.721732157177225,0.332225913621262,0.539811066126856,0.549019607843137,0.651779363696428
"6",3134,248,18,41,17,16,26,13,8,11,32,26,3,22,5,3,7,3134,0.653085994444444,0.655261226731707,0.651259952411765,0.6837116150625,0.665002197769231,0.654514070230769,0.63604431275,0.641112161727273,0.658430818,0.655219803269231,0.667795750333333,0.672495786318182,0.649899083,0.682419326,0.660185932571429,0.658095459811742,0.555929163864604,0.568705586888197,0.684931506849315,0.555480287223953,0.4341164453524,0.60882800608828,0.582306830907055,0.587969244685663,0.772946859903382,0.455486542443064,0.586080586080586,0.476190476190476,0.854700854700855,0.588078053996258,0.553709856035437,0.404858299595142,0.549019607843137,0.659095868707991
"7",3142,240,11,43,21,9,33,16,5,12,27,27,2,19,5,6,4,3142,0.706434589,0.667585891325581,0.673247710190476,0.658827119555556,0.643479660151515,0.647422175625,0.6993642884,0.685974681583333,0.642792455703704,0.672114332814815,0.618929373,0.662547950052632,0.6972461646,0.659351338333333,0.700581743,0.65767799911585,0.537995965030262,0.570157292279105,0.418569254185693,0.582576886600732,0.536261491317671,0.342465753424658,0.739081746920493,0.723654454997739,0.483091787439614,0.496894409937888,0.494505494505494,0.494505494505494,0.56980056980057,0.507885592087677,0.553709856035437,0.809716599190283,0.313725490196078,0.669059964889063
"8",3109,273,11,38,29,14,28,11,7,11,39,33,1,36,5,4,6,3109,0.664115644181818,0.663454677131579,0.674493284965517,0.650335712571429,0.644413398607143,0.651594831454545,0.668849940857143,0.658868858272727,0.663570610820513,0.665983739939394,0.693156707,0.661002333833333,0.6565081746,0.63034997325,0.664059185,0.657898996112576,0.611970410221923,0.564169007541609,0.418569254185693,0.514835388158786,0.740551583248212,0.532724505327245,0.627099664053751,0.497512437810945,0.676328502415459,0.455486542443064,0.714285714285714,0.604395604395604,0.284900284900285,0.962309542902967,0.553709856035437,0.539811066126856,0.470588235294118,0.660717138165676
"9",3135,247,14,39,24,8,29,19,7,14,30,26,3,20,4,4,6,3135,0.671283132714286,0.672440954615385,0.632919428708333,0.65466525575,0.66227832,0.665557189,0.648739605714286,0.672665087357143,0.6497117127,0.636728874961539,0.682998777333333,0.66951950025,0.656724668,0.680428386,0.657974991,0.658124901677831,0.553687514010312,0.56888705006206,0.532724505327245,0.528383687847175,0.612870275791624,0.30441400304414,0.6494960806271,0.859339665309815,0.676328502415459,0.579710144927536,0.549450549450549,0.476190476190476,0.854700854700855,0.534616412723871,0.44296788482835,0.539811066126856,0.470588235294118,0.660975725606954
"10",3108,274,9,41,28,27,29,12,7,13,35,26,3,27,3,7,7,3108,0.670466205333333,0.669970252170732,0.686925677678571,0.662657066222222,0.641031771896552,0.671540297833333,0.614161863285714,0.644514464769231,0.663899499285714,0.672423788923077,0.726269609,0.617027647925926,0.620087899666667,0.677389161428571,0.703312397857143,0.657923526457529,0.614212060076216,0.563987544367746,0.342465753424658,0.555480287223953,0.715015321756895,1.02739726027397,0.6494960806271,0.542740841248304,0.676328502415459,0.538302277432712,0.641025641025641,0.476190476190476,0.854700854700855,0.721732157177225,0.332225913621262,0.944669365721997,0.549019607843137,0.662778506885119
"11",3125,257,14,43,17,15,25,15,2,23,29,29,2,21,7,8,7,3125,0.6350691635,0.657945401162791,0.671265042058824,0.6778791694,0.6712040986,0.655288223866667,0.6612315065,0.649626190086957,0.65493698237931,0.663976954103448,0.6984710495,0.666214531238095,0.739374863,0.67146732225,0.641899006285714,0.65777670434144,0.576104012553239,0.567072418323425,0.532724505327245,0.582576886600732,0.4341164453524,0.570776255707762,0.559910414333707,0.67842605156038,0.193236714975845,0.952380952380952,0.531135531135531,0.531135531135531,0.56980056980057,0.561347233360064,0.775193798449612,1.07962213225371,0.549019607843137,0.66772330026212
"12",3118,264,12,42,21,18,29,13,5,13,31,30,3,26,9,6,6,3118,0.686458311416667,0.640502707904762,0.667308137047619,0.665227368722222,0.671464008586207,0.646169874307692,0.6470496208,0.670723988538461,0.671473800774193,0.650032362733333,0.690989703666667,0.679925143423077,0.656770034777778,0.6573871265,0.640898204166667,0.657839187860487,0.591795561533288,0.565802176106381,0.45662100456621,0.569028586912342,0.536261491317671,0.684931506849315,0.6494960806271,0.587969244685663,0.483091787439614,0.538302277432712,0.567765567765568,0.549450549450549,0.854700854700855,0.695001336541032,0.996677740863787,0.809716599190283,0.470588235294118,0.66282535955769
"13",3117,265,15,46,21,22,31,13,6,18,28,30,2,18,7,2,6,3117,0.6729575412,0.6439971085,0.672805517142857,0.658633329681818,0.668417942645161,0.650359402153846,0.658103519833333,0.661081994833333,0.67635727275,0.649855957866667,0.7036281935,0.662156358333333,0.668766725571429,0.6789835225,0.597210384333333,0.658043393906962,0.594037211387581,0.565620712932517,0.570776255707762,0.623221785665899,0.536261491317671,0.837138508371385,0.694288913773796,0.587969244685663,0.579710144927536,0.745341614906832,0.512820512820513,0.549450549450549,0.56980056980057,0.481154771451484,0.775193798449612,0.269905533063428,0.470588235294118,0.661554318056341
