"","row","col","corr","row.region","col.region","regionop","inout","oceans2","row.sp","col.sp","row.fam","row.order","col.fam","col.order","fam.cf","order.cf","row.ocean","col.ocean","oceancon"
"2809","57 Sphyrnidae","57 Lamnidae",0.960497142,57,57,"57","intra-regional","Ind","Sphyrnidae","Lamnidae","SPHYRNIDAE","Carcharhiniformes","LAMNIDAE","Lamniformes","diff.fam","diff.order","ind","ind","ind"
"2969","61 Pennahia argentata","61 Decapoda",0.933982787,61,61,"61","intra-regional","Pac","Pennahia argentata","Decapoda","SCIAENIDAE","Perciformes","","Decapoda","diff.fam","diff.order","pac","pac","pac"
"2627","57 Scomberomorus lineolatus","51 Scomberomorus lineolatus",0.920403972,57,51,"others","inter-regional","others","Scomberomorus lineolatus","Scomberomorus lineolatus","SCOMBRIDAE","Perciformes","SCOMBRIDAE","Perciformes","SCOMBRIDAE","Perciformes","ind","ind","ind"
"2625","57 Scomberomorus guttatus","51 Scomberomorus guttatus",0.889873112,57,51,"others","inter-regional","others","Scomberomorus guttatus","Scomberomorus guttatus","SCOMBRIDAE","Perciformes","SCOMBRIDAE","Perciformes","SCOMBRIDAE","Perciformes","ind","ind","ind"
"1481","71 Saurida tumbil","31 Scombridae",0.875418221,71,31,"others","inter-regional","others","Saurida tumbil","Scombridae","SYNODONTIDAE","Aulopiformes","SCOMBRIDAE","Perciformes","diff.fam","diff.order","pac","atl","pacatl"
"2960","61 Decapoda","61 Brachyura",0.873162892,61,61,"61","intra-regional","Pac","Decapoda","Brachyura","","Decapoda","","Decapoda","","Decapoda","pac","pac","pac"
"1131","31 Scombridae","27 Pagellus erythrinus",0.869318939,31,27,"others","inter-regional","others","Scombridae","Pagellus erythrinus","SCOMBRIDAE","Perciformes","SPARIDAE","Perciformes","diff.fam","Perciformes","atl","atl","atl"
"2961","61 Pennahia argentata","61 Brachyura",0.866959355,61,61,"61","intra-regional","Pac","Pennahia argentata","Brachyura","SCIAENIDAE","Perciformes","","Decapoda","diff.fam","diff.order","pac","pac","pac"
"1118","71 Saurida tumbil","27 Dentex macrophthalmus",0.864867898,71,27,"others","inter-regional","others","Saurida tumbil","Dentex macrophthalmus","SYNODONTIDAE","Aulopiformes","SPARIDAE","Perciformes","diff.fam","diff.order","pac","atl","pacatl"
"2708","57 Cephalopholis boenak","57 Decapterus spp",0.849261576,57,57,"57","intra-regional","Ind","Cephalopholis boenak","Decapterus spp","SERRANIDAE","Perciformes","CARANGIDAE","Perciformes","diff.fam","Perciformes","ind","ind","ind"
