nullmod,meancoh644s,meancoh3382s
1,0.541336978,0.540506589
2,0.541079424,0.544277266
3,0.540623904,0.544030835
4,0.54073981,0.544190954
5,0.539480263,0.544848537
6,0.542148794,0.544647487
7,0.545725818,0.54393583
8,0.543444895,0.54383776
9,0.537241354,0.543405602
10,0.546302496,0.543349781
11,0.545048973,0.54371516
12,0.545536372,0.544346053
13,0.543495002,0.544639464
14,0.545328749,0.547017264
15,0.54296953,0.544666403
16,0.543319406,0.544407421
17,0.544082466,0.545723759
18,0.544159387,0.544757743
19,0.54653704,0.546574046
20,0.546824423,0.544409424
21,0.545732869,0.542763371
22,0.546589593,0.546816615
23,0.544447288,0.544987506
24,0.544201746,0.546941013
25,0.543375864,0.544192988
26,0.543293997,0.543265021
27,0.546382665,0.544523628
28,0.545844063,0.5448499
29,0.54529565,0.54412812
30,0.546707795,0.543839105
31,0.544243948,0.543985895
32,0.540004353,0.544807375
33,0.543091591,0.543261312
34,0.548943161,0.545094001
35,0.54495603,0.543719395
36,0.543627148,0.541421284
37,0.548958928,0.54391821
38,0.541599119,0.545456453
39,0.54592837,0.5443546
40,0.546687435,0.546023039
41,0.542080457,0.545428679
42,0.547691643,0.543357585
43,0.544601425,0.545580258
44,0.542295479,0.543905249
45,0.54831362,0.544764225
46,0.54465006,0.544234162
47,0.544528372,0.5467115
48,0.542625932,0.545274127
49,0.541671475,0.542836776
50,0.546711439,0.546816582
51,0.544510627,0.543788658
52,0.544864134,0.54396732
53,0.543269664,0.544565154
54,0.543742763,0.545807144
55,0.54136178,0.543508167
56,0.549068676,0.546013742
57,0.545066521,0.545801287
58,0.540853627,0.544102096
59,0.542094913,0.544981594
60,0.54638295,0.543420563
61,0.546744545,0.54479803
62,0.547949493,0.545768226
63,0.547725908,0.543663173
64,0.549481159,0.546201226
65,0.543358107,0.5431836
66,0.548963399,0.544779206
67,0.546379095,0.544363018
68,0.543467447,0.546297278
69,0.546010761,0.544323115
70,0.545344732,0.545492138
71,0.541180115,0.543511417
72,0.543254342,0.545365224
73,0.548718866,0.543076599
74,0.541639074,0.543453253
75,0.540588183,0.545601677
76,0.544335783,0.543761779
77,0.543510756,0.545710642
78,0.543614622,0.544979137
79,0.547490907,0.544355229
80,0.543722141,0.541997809
81,0.547179539,0.544903914
82,0.543014939,0.544246483
83,0.544232462,0.543765349
84,0.542531071,0.542840079
85,0.546907035,0.545206396
86,0.54292672,0.543594228
87,0.545100511,0.544333743
88,0.545504849,0.544251494
89,0.543307133,0.543736615
90,0.542935535,0.543475081
91,0.545567058,0.54331302
92,0.544182137,0.545004467
93,0.543872589,0.543582819
94,0.548269496,0.546361489
95,0.543498175,0.543920175
96,0.54357181,0.544911773
97,0.54704315,0.545260105
98,0.545570793,0.545361709
99,0.545245983,0.543618702
100,0.54537607,0.543739143
