"","region","rpt","rcoh","pvalpt","pvalcoh","pvalpt3","pvalcoh3"
"1",21,14,917,0.014985014985015,0.917082917082917,0.015,0.917
"2",27,3,3,0.003996003996004,0.003996003996004,0.004,0.004
"3",31,413,953,0.413586413586414,0.953046953046953,0.414,0.953
"4",34,229,558,0.22977022977023,0.558441558441558,0.23,0.558
"5",37,143,325,0.143856143856144,0.325674325674326,0.144,0.326
"6",41,199,129,0.1998001998002,0.12987012987013,0.2,0.13
"7",47,841,42,0.841158841158841,0.042957042957043,0.841,0.043
"8",51,728,463,0.728271728271728,0.463536463536464,0.728,0.464
"9",57,0,0,0.000999000999000999,0.000999000999000999,0.001,0.001
"10",61,20,72,0.020979020979021,0.0729270729270729,0.021,0.073
"11",67,847,425,0.847152847152847,0.425574425574426,0.847,0.426
"12",71,0,29,0.000999000999000999,0.02997002997003,0.001,0.03
"13",77,594,59,0.594405594405594,0.0599400599400599,0.594,0.06
"14",81,0,94,0.000999000999000999,0.0949050949050949,0.001,0.095
"15",87,926,34,0.926073926073926,0.034965034965035,0.926,0.035
